Country,Dzongkhag,Gewog/Town,Gewog_Latitude,Gewog_Longitude,Total_Female,Total_Male,Total_Population
Bhutan,Trashigang,Rangjung Town,27.35347814,91.66272891,915,1109,2024
Bhutan,Trashigang,Kanglung Town,27.28883802,91.52629427,1445,1778,3223
Bhutan,Trashigang,Khaling Town,27.20813469,91.59623577,542,587,1129
Bhutan,Trashigang,Resarbu Town,27.32781491,91.54344944,95,116,211
Bhutan,Trashigang,Wamrong Town,27.13824586,91.57125953,260,224,484
Bhutan,Trashigang,Bartsham,27.39248176,91.60726146,837,951,1788
Bhutan,Trashigang,Bidoong,27.37424577,91.63864702,727,694,1421
Bhutan,Trashigang,Yangnyer,27.35958639,91.52940041,1251,1284,2535
Bhutan,Trashigang,Shongphu,27.35324708,91.66550779,962,963,1925
Bhutan,Trashigang,Kanglung,27.28630426,91.52036861,1927,2166,4093
Bhutan,Trashigang,Samkhar,27.33026437,91.61421084,992,1117,2109
Bhutan,Trashigang,Udzorong,27.25736489,91.44913732,1411,1349,2760
Bhutan,Trashigang,Merag,27.29857544,91.84444959,704,858,1562
Bhutan,Trashigang,Phongmed,27.33273961,91.55234354,1312,1305,2617
Bhutan,Trashigang,Radhi,27.36270697,91.6919405,1177,1169,2346
Bhutan,Trashigang,Sagteng,27.40298733,91.91954369,963,1098,2061
Bhutan,Trashigang,Kangpar,27.12751886,91.69873646,819,772,1591
Bhutan,Trashigang,Thrimshing,27.12177719,91.60823706,1304,1244,2548
Bhutan,Trashigang,Khaling,27.20796987,91.59635932,1186,1270,2456
Bhutan,Trashigang,Lumang,27.15098273,91.53114456,1803,1795,3598
Bhutan,Thimphu,Thimphu Thromde,27.46912544,89.63955243,55555,58996,114551
Bhutan,Thimphu,Khasadrapchu Town,27.38689132,89.58215476,509,457,966
Bhutan,Thimphu,Kawang,27.48242625,89.63099162,2292,3185,5477
Bhutan,Thimphu,Lingzhi,27.86185697,89.43578663,214,276,490
Bhutan,Thimphu,Naro,27.69214655,89.59826781,87,163,250
Bhutan,Thimphu,Soe,27.76758851,89.33465455,81,101,182
Bhutan,Thimphu,Chang,27.44121612,89.6686611,2951,3801,6752
Bhutan,Thimphu,Darkarla,27.40989963,89.70065176,707,1387,2094
Bhutan,Thimphu,Ge-nyen,27.58236226,89.86298402,544,597,1141
Bhutan,Thimphu,Maedwang,27.56526536,89.65414853,3274,3559,6833
Bhutan,Trongsa,Trongsa Town,27.50019005,90.50800057,1455,1667,3122
Bhutan,Trongsa,Kuengarabten Town,27.50170306,90.50750022,192,232,424
Bhutan,Trongsa,Draagteng,27.50247939,90.50799152,2637,3563,6200
Bhutan,Trongsa,Korphu,27.18970436,90.53234678,345,404,749
Bhutan,Trongsa,Langthil,27.32748925,90.58401683,1418,2332,3750
Bhutan,Trongsa,Nubi,27.52210477,90.46017326,1096,2075,3171
Bhutan,Trongsa,Tangsibji,27.45864832,90.44848948,939,1605,2544
Bhutan,Tsirang,Tsirang Town,27.00726605,90.12426868,1594,1854,3448
Bhutan,Tsirang,Mendrelgang Town,26.95447847,90.13291872,31,31,62
Bhutan,Tsirang,Barshong,26.94103965,90.08924937,419,423,842
Bhutan,Tsirang,Patshaling,26.95800341,90.14241506,592,567,1159
Bhutan,Tsirang,Kilkhorthang,27.01244386,90.13611772,1046,1099,2145
Bhutan,Tsirang,Mendrelgang,26.95256495,90.1326787,1231,1276,2507
Bhutan,Tsirang,Rangthangling,26.98900473,90.11397138,782,803,1585
Bhutan,Tsirang,Tsholingkhar,27.01475635,90.10770677,853,892,1745
Bhutan,Tsirang,Doonglagang,27.01541865,90.18129613,767,779,1546
Bhutan,Tsirang,Gosarling,27.04001229,90.13108003,939,925,1864
Bhutan,Tsirang,Sergithang,26.9949605,90.11618493,648,731,1379
Bhutan,Tsirang,Pungtenchhu,27.07639333,90.1467018,666,665,1331
Bhutan,Tsirang,Semjong,27.03241722,90.18688929,600,712,1312
Bhutan,Tsirang,Tsirangtoe,27.06142631,90.10994897,682,769,1451
Bhutan,Trashi Yangtse,Trashi Yangtse Town,27.60941855,91.49733767,1526,1661,3187
Bhutan,Trashi Yangtse,Duksum Town,27.43883924,91.5751937,134,226,360
Bhutan,Trashi Yangtse,Bumdeling,27.7108866,91.42461773,1099,1043,2142
Bhutan,Trashi Yangtse,Jamkhar,27.3970956,91.53967701,483,516,999
Bhutan,Trashi Yangtse,Tongmajangsa,27.45208995,91.54531954,892,890,1782
Bhutan,Trashi Yangtse,Yangtse,27.60061279,91.49761617,669,684,1353
Bhutan,Trashi Yangtse,Ramjar,27.41792335,91.57668892,589,624,1213
Bhutan,Trashi Yangtse,Khamdang,27.45775709,91.58131301,1668,1644,3312
Bhutan,Trashi Yangtse,Toedtsho,27.48087353,91.60459838,836,744,1580
Bhutan,Trashi Yangtse,Yalang,27.43989607,91.58522657,685,687,1372
Bhutan,Wangdue Phodrang,Wangdue Phodrang Town,27.4880557,89.89713145,4226,4728,8954
Bhutan,Wangdue Phodrang,Rurichhu Town,27.49487986,89.89998022,110,103,213
Bhutan,Wangdue Phodrang,Nobding Town,27.54538645,90.15299319,327,386,713
Bhutan,Wangdue Phodrang,Athang,27.31477517,90.02874017,364,409,773
Bhutan,Wangdue Phodrang,Bjenag,27.49534285,89.94910836,781,1135,1916
Bhutan,Wangdue Phodrang,Darkar,27.27267761,90.03223289,1047,5010,6057
Bhutan,Wangdue Phodrang,Gase Tshogongm,27.41983315,89.88615518,1889,2071,3960
Bhutan,Wangdue Phodrang,Gase Tshowogm,27.42080649,89.88628794,336,623,959
Bhutan,Wangdue Phodrang,Nahi,27.4565082,89.85310502,305,291,596
Bhutan,Wangdue Phodrang,Thedtsho,27.48569918,89.89802996,1513,1861,3374
Bhutan,Wangdue Phodrang,Ruebisa,27.47267584,89.90156817,903,1276,2179
Bhutan,Wangdue Phodrang,Dangchhu,27.48334327,89.90563231,556,546,1102
Bhutan,Wangdue Phodrang,Gangteng,27.49356952,90.16696605,1206,1569,2775
Bhutan,Wangdue Phodrang,Kazhi,27.54280796,90.0002924,594,695,1289
Bhutan,Wangdue Phodrang,Nyishog,27.52708353,89.97793607,1346,1166,2512
Bhutan,Wangdue Phodrang,Phangyuel,27.51276055,89.95219182,445,519,964
Bhutan,Wangdue Phodrang,Phobji,27.45289669,90.19236913,1082,1039,2121
Bhutan,Wangdue Phodrang,Saephu,27.52311607,90.29598909,854,875,1729
Bhutan,Zhemgang,Zhemgang Town,27.14397464,90.69055073,1024,1153,2177
Bhutan,Zhemgang,Tingtibi Town,27.14468395,90.69221745,245,289,534
Bhutan,Zhemgang,Panbang Town,26.85055145,90.96191527,385,415,800
Bhutan,Zhemgang,Bardo,27.13863349,90.94304265,803,931,1734
Bhutan,Zhemgang,Nangkor,27.21306902,90.80621786,1273,1329,2602
Bhutan,Zhemgang,Shingkhar,27.24752315,90.94544448,600,676,1276
Bhutan,Zhemgang,Trong,27.14632013,90.68876899,1422,1546,2968
Bhutan,Zhemgang,Bjoka,26.96636199,91.04927139,422,434,856
Bhutan,Zhemgang,Goshing,26.96002173,90.89092254,697,699,1396
Bhutan,Zhemgang,Ngangla,26.93645937,91.00215077,1129,1127,2256
Bhutan,Zhemgang,Pangkhar,26.94160391,90.87063361,568,596,1164
